job_description,resume_text,label
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with AWS, Azure, Kubernetes, Docker.",1
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Tally, GST, Excel.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with SEO, AdWords, Google Analytics.",1
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Tally, GST, Excel.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with React, HTML, CSS, JavaScript.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Tally, GST, Excel.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Tally, GST, Excel.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with Tally, GST, Excel.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Tally, GST, Excel.",1
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Photoshop, Illustrator, Canva.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Tally, GST, Excel.",1
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Figma, Prototyping, Wireframes.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Photoshop, Illustrator, Canva.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Tally, GST, Excel.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with CI/CD, Jenkins, Docker, Terraform.",1
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Tally, GST, Excel.",1
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with SEO, AdWords, Google Analytics.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Tally, GST, Excel.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with SEO, AdWords, Google Analytics.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Recruitment, Onboarding, Payroll.",1
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Figma, Prototyping, Wireframes.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with React, HTML, CSS, JavaScript.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Tally, GST, Excel.",1
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with SEO, AdWords, Google Analytics.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Recruitment, Onboarding, Payroll.",1
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Tally, GST, Excel.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Tally, GST, Excel.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with SEO, AdWords, Google Analytics.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with React, HTML, CSS, JavaScript.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with Tally, GST, Excel.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Tally, GST, Excel.",1
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Tally, GST, Excel.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with SEO, AdWords, Google Analytics.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Recruitment, Onboarding, Payroll.",1
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Figma, Prototyping, Wireframes.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with React, HTML, CSS, JavaScript.",1
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Tally, GST, Excel.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with SEO, AdWords, Google Analytics.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with React, HTML, CSS, JavaScript.",1
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with React, HTML, CSS, JavaScript.",1
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with Node.js, Java, Spring Boot, MongoDB.",1
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Figma, Prototyping, Wireframes.",1
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with SEO, AdWords, Google Analytics.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Tally, GST, Excel.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Figma, Prototyping, Wireframes.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with SEO, AdWords, Google Analytics.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with SEO, AdWords, Google Analytics.",1
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with SEO, AdWords, Google Analytics.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Tally, GST, Excel.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with SEO, AdWords, Google Analytics.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Recruitment, Onboarding, Payroll.",1
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with React, HTML, CSS, JavaScript.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Photoshop, Illustrator, Canva.",1
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Photoshop, Illustrator, Canva.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Figma, Prototyping, Wireframes.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Tally, GST, Excel.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with AWS, Azure, Kubernetes, Docker.",1
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Figma, Prototyping, Wireframes.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Tally, GST, Excel.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Tally, GST, Excel.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Photoshop, Illustrator, Canva.",1
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with SEO, AdWords, Google Analytics.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with React, HTML, CSS, JavaScript.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Tally, GST, Excel.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with React, HTML, CSS, JavaScript.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Figma, Prototyping, Wireframes.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Tally, GST, Excel.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Tally, GST, Excel.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Tally, GST, Excel.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with React, HTML, CSS, JavaScript.",1
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with Tally, GST, Excel.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Tally, GST, Excel.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with React, HTML, CSS, JavaScript.",1
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Photoshop, Illustrator, Canva.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with AWS, Azure, Kubernetes, Docker.",1
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with React, HTML, CSS, JavaScript.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Photoshop, Illustrator, Canva.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Recruitment, Onboarding, Payroll.",1
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with SEO, AdWords, Google Analytics.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with AWS, Azure, Kubernetes, Docker.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with React, HTML, CSS, JavaScript.",1
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with SEO, AdWords, Google Analytics.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Tally, GST, Excel.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with SEO, AdWords, Google Analytics.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with SEO, AdWords, Google Analytics.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with SEO, AdWords, Google Analytics.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Python, Machine Learning, SQL, Pandas.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with SEO, AdWords, Google Analytics.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with Tally, GST, Excel.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with AWS, Azure, Kubernetes, Docker.",1
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with SEO, AdWords, Google Analytics.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Photoshop, Illustrator, Canva.",1
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Digital Marketer skilled in SEO, AdWords, Google Analytics.","Digital Marketer experience with Figma, Prototyping, Wireframes.",0
"Looking for a Backend Developer skilled in Node.js, Java, Spring Boot, MongoDB.","Backend Developer experience with React, HTML, CSS, JavaScript.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Recruitment, Onboarding, Payroll.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Tally, GST, Excel.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Figma, Prototyping, Wireframes.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Node.js, Java, Spring Boot, MongoDB.",0
"Looking for a UI/UX Designer skilled in Figma, Prototyping, Wireframes.","UI/UX Designer experience with SEO, AdWords, Google Analytics.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Tally, GST, Excel.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with SEO, AdWords, Google Analytics.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Figma, Prototyping, Wireframes.",0
"Looking for a DevOps Engineer skilled in CI/CD, Jenkins, Docker, Terraform.","DevOps Engineer experience with Tally, GST, Excel.",0
"Looking for a Accountant skilled in Tally, GST, Excel.","Accountant experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a HR Manager skilled in Recruitment, Onboarding, Payroll.","HR Manager experience with SEO, AdWords, Google Analytics.",0
"Looking for a Frontend Developer skilled in React, HTML, CSS, JavaScript.","Frontend Developer experience with Photoshop, Illustrator, Canva.",0
"Looking for a Cloud Engineer skilled in AWS, Azure, Kubernetes, Docker.","Cloud Engineer experience with Tally, GST, Excel.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with CI/CD, Jenkins, Docker, Terraform.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Graphic Designer skilled in Photoshop, Illustrator, Canva.","Graphic Designer experience with Recruitment, Onboarding, Payroll.",0
"Looking for a Data Scientist skilled in Python, Machine Learning, SQL, Pandas.","Data Scientist experience with Figma, Prototyping, Wireframes.",0
